array,queries,results
67 13 48 29 93 50 93 25 44 40,8-8 | 7-7 | 8-8 | 8-9 | 2-5 | 3-9 | 0-3 | 0-9 | 0-9 | 9-9 | 7-8 | 3-7 | 4-9 | 8-8 | 3-9,44 25 44 40 29 25 13 13 13 40 25 25 25 44 25
31 66 35 91 7 100 76 63 64 13,4-9 | 1-4 | 4-8 | 2-8 | 4-4 | 7-9 | 8-9 | 0-9 | 9-9 | 0-0 | 9-9 | 2-6 | 6-8 | 5-6 | 3-4,7 7 7 7 7 13 13 7 13 31 13 7 63 76 7
32 1 18 70 99 89 42 28 97 70,3-5 | 1-3 | 1-1 | 3-4 | 0-5 | 8-9 | 8-9 | 0-5 | 3-5 | 2-7 | 7-7 | 2-3 | 2-9 | 0-6 | 7-7,70 1 1 70 1 70 70 1 70 18 28 18 18 1 28
6 25 11 36 45 83 42 41 76 72,3-8 | 0-9 | 3-6 | 6-9 | 3-5 | 4-6 | 3-7 | 2-5 | 8-9 | 3-9 | 2-4 | 6-8 | 4-9 | 0-6 | 4-6,36 6 36 41 36 42 36 11 72 36 11 41 41 6 42
67 96 54 17 50 54 67 32 1 58,3-8 | 8-8 | 6-9 | 7-7 | 1-9 | 4-4 | 1-3 | 2-7 | 8-8 | 5-7 | 7-9 | 1-1 | 8-8 | 8-9 | 3-4,1 1 1 32 1 50 17 17 1 32 1 96 1 1 17
15 38 62 89 9 96 16 39 46 11,8-8 | 6-9 | 7-8 | 1-8 | 2-3 | 7-8 | 7-8 | 8-9 | 7-7 | 4-8 | 2-4 | 5-9 | 4-6 | 3-5 | 4-5,46 11 39 9 62 39 39 11 39 9 9 11 9 9 9
19 37 45 23 18 49 9 97 33 68,8-9 | 7-9 | 3-3 | 7-8 | 1-9 | 4-4 | 2-3 | 7-9 | 4-6 | 9-9 | 8-8 | 2-9 | 0-5 | 2-8 | 1-5,33 33 23 33 9 18 23 33 9 68 33 9 18 9 18
51 73 5 31 12 29 100 32 8 60,4-7 | 8-8 | 5-5 | 4-9 | 3-3 | 1-5 | 1-6 | 4-8 | 5-9 | 1-3 | 6-6 | 8-8 | 1-4 | 7-9 | 2-3,12 8 29 8 31 5 5 8 8 5 100 8 5 8 5
60 15 50 17 5 95 85 78 22 12,9-9 | 0-2 | 1-3 | 8-9 | 1-2 | 2-4 | 2-9 | 7-9 | 2-2 | 9-9 | 3-6 | 3-4 | 8-9 | 3-5 | 1-2,12 15 15 12 15 5 5 12 50 12 5 5 12 5 15
31 26 71 36 63 18 15 82 48 8,7-8 | 5-6 | 6-7 | 0-5 | 4-6 | 8-8 | 2-6 | 1-8 | 6-6 | 2-4 | 0-2 | 9-9 | 0-9 | 8-9 | 4-8,48 15 15 18 15 48 15 15 15 36 26 8 8 8 15
6 30 38 88 76 66 52 73 52 15,7-9 | 0-9 | 0-9 | 8-8 | 2-5 | 3-6 | 7-8 | 4-8 | 6-9 | 4-9 | 8-9 | 2-9 | 5-5 | 6-6 | 5-9,15 6 6 52 38 52 52 52 15 15 15 15 66 52 15
88 64 76 54 66 58 20 61 38 63,9-9 | 3-7 | 6-7 | 1-4 | 2-2 | 4-9 | 8-9 | 6-6 | 5-9 | 8-9 | 0-1 | 2-7 | 0-8 | 3-7 | 4-9,63 20 20 54 76 20 38 20 20 38 64 20 20 20 20
54 84 26 96 61 13 86 9 85 43,8-9 | 3-5 | 1-2 | 4-6 | 2-5 | 3-3 | 8-8 | 4-8 | 5-5 | 9-9 | 9-9 | 9-9 | 1-2 | 3-6 | 0-0,43 13 26 13 13 96 85 9 13 43 43 43 26 13 54
30 24 16 57 38 11 13 16 100 81,4-5 | 1-8 | 4-8 | 4-4 | 6-9 | 7-9 | 1-7 | 8-9 | 6-7 | 4-9 | 2-6 | 8-9 | 9-9 | 6-9 | 8-8,11 11 11 38 13 16 11 81 13 11 11 81 81 13 100
30 77 62 91 17 24 83 5 4 74,7-7 | 7-9 | 9-9 | 1-2 | 3-3 | 2-4 | 4-6 | 6-8 | 9-9 | 3-9 | 5-7 | 3-4 | 5-9 | 5-8 | 4-8,5 4 74 62 91 17 17 4 74 4 5 17 4 4 4
84 59 50 89 68 87 78 81 26 51,8-8 | 0-5 | 7-9 | 0-7 | 1-8 | 1-3 | 2-8 | 3-8 | 2-9 | 5-8 | 3-6 | 2-6 | 9-9 | 6-7 | 4-8,26 50 26 50 26 50 26 26 26 26 68 50 51 78 26
92 85 54 58 60 79 11 68 65 86,1-4 | 9-9 | 1-9 | 0-0 | 9-9 | 5-5 | 4-5 | 4-7 | 2-9 | 2-5 | 2-5 | 0-1 | 0-5 | 6-8 | 9-9,54 86 11 92 86 79 60 11 11 54 54 85 54 11 86
54 12 94 5 26 9 2 56 30 22,6-6 | 4-7 | 1-9 | 3-8 | 2-7 | 7-8 | 4-6 | 2-6 | 9-9 | 7-9 | 2-6 | 1-3 | 1-5 | 2-6 | 0-3,2 2 2 2 2 30 2 2 22 22 2 5 5 2 5
69 55 16 74 67 94 2 47 51 20,2-6 | 7-8 | 9-9 | 9-9 | 3-9 | 1-8 | 3-4 | 1-5 | 6-8 | 1-7 | 1-3 | 2-6 | 1-2 | 1-3 | 9-9,2 47 20 20 2 2 67 16 2 2 16 2 16 16 20
74 71 82 15 24 18 34 15 36 52,1-3 | 6-8 | 5-9 | 1-3 | 0-6 | 4-4 | 1-5 | 2-5 | 8-9 | 8-9 | 6-7 | 1-4 | 3-5 | 0-4 | 2-3,15 15 15 15 15 24 15 15 36 36 15 15 15 15 15
29 2 89 11 33 100 6 97 51 87,5-9 | 6-6 | 5-7 | 4-5 | 4-5 | 6-7 | 3-7 | 6-7 | 5-8 | 7-8 | 1-3 | 8-8 | 8-9 | 4-9 | 0-5,6 6 6 33 33 6 6 6 6 51 2 51 51 6 2
44 92 69 34 9 77 28 10 95 25,9-9 | 1-2 | 9-9 | 5-7 | 3-4 | 5-6 | 7-9 | 5-9 | 9-9 | 7-8 | 8-8 | 7-7 | 3-5 | 4-4 | 7-9,25 69 25 10 9 28 10 10 25 10 95 10 9 9 10
31 55 45 20 59 75 100 11 97 97,9-9 | 3-9 | 6-6 | 1-4 | 5-7 | 1-5 | 8-8 | 8-8 | 1-8 | 6-7 | 6-6 | 6-8 | 1-9 | 7-7 | 3-8,97 11 100 20 11 20 97 97 11 11 100 11 11 11 11
15 59 39 50 47 8 22 57 16 90,8-9 | 6-7 | 5-7 | 2-6 | 6-9 | 4-8 | 4-6 | 6-9 | 1-1 | 0-9 | 5-8 | 0-3 | 2-2 | 9-9 | 0-4,16 22 8 8 16 8 8 16 59 8 8 15 39 90 15
43 40 47 87 55 48 12 6 44 52,1-4 | 9-9 | 4-7 | 8-8 | 9-9 | 2-7 | 8-8 | 8-9 | 2-2 | 0-1 | 2-9 | 4-4 | 0-3 | 4-6 | 2-9,40 52 6 44 52 6 44 44 47 40 6 55 40 12 6
60 77 13 42 66 86 37 54 78 6,7-7 | 6-7 | 2-5 | 7-8 | 4-6 | 4-7 | 6-8 | 7-7 | 5-8 | 3-4 | 9-9 | 4-7 | 9-9 | 9-9 | 7-7,54 37 13 54 37 37 37 54 37 42 6 37 6 6 54
87 55 67 91 99 49 82 92 46 32,9-9 | 0-0 | 6-6 | 9-9 | 7-9 | 0-9 | 6-9 | 1-8 | 4-4 | 8-9 | 7-9 | 6-6 | 7-7 | 2-8 | 5-7,32 87 82 32 32 32 32 46 99 32 32 82 92 46 49
72 89 66 86 66 22 84 45 33 39,4-7 | 1-5 | 5-8 | 7-9 | 8-9 | 8-8 | 8-9 | 3-8 | 8-8 | 5-9 | 4-8 | 6-6 | 9-9 | 8-8 | 1-3,22 22 22 33 33 33 33 22 33 22 22 84 39 33 66
59 77 6 79 32 90 12 51 17 40,6-6 | 7-8 | 4-9 | 8-8 | 8-8 | 3-6 | 3-4 | 7-7 | 2-4 | 9-9 | 2-8 | 4-8 | 1-1 | 9-9 | 6-9,12 17 12 17 17 12 32 51 6 40 6 12 77 40 12
50 52 73 11 14 74 64 89 21 52,3-8 | 1-3 | 3-4 | 7-9 | 5-9 | 0-9 | 6-9 | 3-6 | 8-8 | 7-9 | 5-7 | 9-9 | 1-2 | 1-4 | 0-7,11 11 11 21 21 11 21 11 21 21 64 52 52 11 11
70 81 56 89 71 40 88 48 85 25,9-9 | 5-5 | 9-9 | 1-3 | 8-8 | 6-8 | 4-5 | 3-8 | 9-9 | 7-8 | 9-9 | 4-9 | 7-8 | 0-8 | 1-3,25 40 25 56 85 48 40 40 25 48 25 25 48 40 56
11 40 13 1 34 56 76 88 53 58,2-8 | 2-6 | 4-4 | 8-9 | 1-7 | 7-8 | 0-9 | 7-9 | 0-7 | 4-7 | 5-8 | 7-8 | 7-7 | 1-9 | 7-9,1 1 34 53 1 53 1 53 1 34 53 53 88 1 53
90 20 33 30 38 8 15 91 20 3,1-1 | 5-6 | 2-8 | 7-8 | 5-8 | 6-7 | 8-8 | 7-7 | 3-8 | 4-5 | 9-9 | 2-5 | 5-9 | 9-9 | 3-4,20 8 8 20 8 15 20 91 8 8 3 8 3 3 30
28 49 31 87 85 45 72 6 87 6,2-5 | 1-8 | 7-8 | 6-8 | 3-4 | 9-9 | 9-9 | 3-5 | 0-3 | 5-7 | 8-8 | 5-5 | 7-9 | 1-2 | 1-1,31 6 6 6 85 6 6 45 28 6 87 45 6 31 49
22 24 86 72 100 48 100 66 45 1,3-3 | 7-8 | 9-9 | 0-5 | 1-5 | 8-9 | 2-3 | 0-2 | 9-9 | 4-4 | 5-5 | 8-8 | 8-8 | 1-8 | 6-8,72 45 1 22 24 1 72 22 1 100 48 45 45 24 45
10 38 83 83 92 76 8 58 85 100,0-7 | 0-3 | 9-9 | 5-9 | 8-8 | 9-9 | 4-6 | 7-9 | 4-9 | 4-5 | 9-9 | 9-9 | 0-6 | 6-7 | 4-9,8 10 100 8 85 100 8 58 8 76 100 100 8 8 8
29 51 43 63 27 61 94 21 86 15,0-1 | 7-8 | 7-8 | 7-9 | 5-7 | 0-8 | 0-8 | 0-0 | 1-7 | 8-8 | 2-2 | 9-9 | 3-5 | 9-9 | 3-8,29 21 21 15 21 21 21 29 21 86 43 15 27 15 21
69 13 65 38 10 53 87 1 73 4,1-9 | 2-7 | 5-5 | 0-3 | 5-9 | 2-7 | 2-5 | 8-8 | 8-9 | 3-6 | 0-0 | 1-9 | 8-8 | 0-8 | 7-7,1 1 53 13 1 1 10 73 4 10 69 1 73 1 1
91 82 32 72 52 69 81 44 2 69,2-2 | 5-8 | 5-7 | 4-5 | 8-9 | 2-6 | 6-9 | 8-8 | 9-9 | 4-4 | 7-9 | 2-2 | 7-8 | 1-5 | 2-8,32 2 44 52 2 32 2 2 69 52 2 32 2 32 2
68 28 31 84 43 61 82 99 21 27,2-3 | 2-9 | 2-6 | 2-2 | 8-9 | 8-8 | 7-7 | 3-3 | 8-8 | 4-8 | 4-6 | 7-8 | 6-9 | 9-9 | 9-9,31 21 31 31 21 21 99 84 21 21 43 21 21 27 27
90 73 55 11 70 5 91 71 78 88,8-9 | 3-5 | 1-7 | 2-4 | 1-7 | 7-8 | 6-6 | 3-4 | 7-8 | 2-4 | 1-2 | 4-5 | 0-9 | 2-9 | 9-9,78 5 5 11 5 71 91 11 71 11 55 5 5 5 88
43 53 24 76 46 57 41 2 62 14,4-4 | 4-4 | 9-9 | 0-1 | 7-7 | 8-8 | 2-4 | 4-8 | 8-8 | 6-6 | 0-0 | 1-9 | 7-9 | 8-8 | 5-9,46 46 14 43 2 62 24 2 62 41 43 2 2 62 2
47 66 65 55 41 65 34 8 77 78,5-8 | 1-3 | 6-7 | 1-2 | 3-8 | 5-9 | 1-9 | 4-5 | 8-9 | 9-9 | 0-1 | 5-7 | 4-8 | 2-3 | 4-8,8 55 8 65 8 8 8 41 77 78 47 8 8 55 8
89 20 3 85 28 20 85 62 21 25,0-5 | 2-8 | 7-9 | 3-3 | 6-9 | 3-4 | 0-9 | 3-9 | 4-4 | 1-3 | 5-8 | 0-2 | 2-2 | 8-9 | 8-8,3 3 21 85 21 28 3 20 28 3 20 3 3 21 21
62 30 32 62 55 14 36 33 65 89,3-4 | 5-8 | 4-5 | 1-6 | 2-6 | 1-3 | 6-9 | 0-6 | 5-5 | 8-9 | 7-7 | 5-9 | 1-7 | 9-9 | 8-8,55 14 14 14 14 30 33 14 14 65 33 14 14 89 65
78 22 81 36 33 75 98 56 64 75,8-9 | 7-7 | 8-9 | 0-3 | 3-9 | 7-8 | 6-6 | 4-8 | 1-6 | 7-7 | 2-8 | 5-9 | 9-9 | 7-8 | 0-6,64 56 64 22 33 56 98 33 22 56 33 56 75 56 22
64 17 16 26 23 54 78 39 76 28,2-5 | 3-8 | 1-6 | 1-9 | 0-5 | 9-9 | 0-6 | 9-9 | 7-8 | 8-9 | 8-8 | 1-7 | 4-4 | 8-8 | 5-8,16 23 16 16 16 28 16 28 39 28 76 16 23 76 39
20 26 60 33 72 24 28 71 41 62,0-9 | 8-9 | 8-8 | 0-4 | 3-6 | 8-9 | 0-1 | 2-4 | 7-9 | 0-0 | 4-4 | 6-9 | 0-9 | 7-9 | 5-7,20 41 41 20 24 41 20 33 41 20 72 28 20 41 24
75 51 80 70 54 5 96 13 30 58,3-3 | 2-6 | 9-9 | 0-6 | 6-7 | 0-7 | 5-9 | 2-5 | 0-0 | 2-6 | 3-3 | 6-8 | 5-8 | 1-1 | 8-9,70 5 58 5 13 5 5 5 75 5 70 13 5 51 30
93 23 74 32 26 11 60 34 2 19,3-8 | 0-5 | 3-8 | 0-7 | 0-5 | 5-7 | 8-9 | 8-9 | 5-5 | 4-7 | 9-9 | 4-4 | 0-0 | 8-8 | 8-8,2 11 2 11 11 11 2 2 11 11 19 26 93 2 2
58 47 58 19 21 33 46 31 94 41,5-8 | 8-8 | 7-8 | 7-9 | 3-4 | 0-2 | 2-9 | 3-6 | 9-9 | 5-6 | 1-8 | 8-9 | 4-7 | 0-4 | 0-1,31 94 31 31 19 47 19 19 41 33 19 41 21 19 47
29 43 32 78 62 52 90 57 42 6,5-9 | 1-7 | 0-7 | 4-4 | 2-9 | 5-8 | 0-4 | 3-4 | 5-9 | 6-6 | 0-4 | 9-9 | 5-9 | 6-7 | 2-9,6 32 29 62 6 42 29 62 6 90 29 6 6 57 6
49 81 57 96 46 28 67 72 54 20,2-4 | 0-1 | 1-3 | 6-6 | 1-8 | 0-4 | 2-7 | 3-5 | 8-8 | 7-8 | 3-4 | 2-9 | 0-2 | 2-6 | 5-5,46 49 57 67 28 46 28 28 54 54 46 20 49 28 28
63 62 82 5 54 13 100 96 57 77,8-8 | 6-8 | 5-7 | 8-8 | 9-9 | 4-7 | 4-7 | 8-8 | 9-9 | 0-6 | 7-8 | 3-9 | 4-7 | 0-9 | 7-7,57 57 13 57 77 13 13 57 77 5 57 5 13 5 96
81 65 20 17 4 97 63 56 45 89,6-8 | 4-8 | 4-4 | 6-6 | 4-9 | 6-6 | 1-5 | 4-8 | 0-3 | 5-7 | 8-9 | 8-9 | 8-9 | 8-8 | 8-8,45 4 4 63 4 63 4 4 17 56 45 45 45 45 45
7 84 33 17 38 47 18 94 37 57,8-9 | 2-5 | 1-5 | 2-8 | 2-3 | 7-8 | 0-8 | 5-6 | 2-9 | 2-2 | 5-6 | 3-7 | 8-8 | 2-3 | 3-8,37 17 17 17 17 37 7 18 17 33 18 17 37 17 17
45 35 16 95 20 17 61 67 67 37,9-9 | 2-7 | 7-8 | 9-9 | 2-2 | 2-5 | 8-8 | 4-8 | 0-1 | 6-9 | 3-7 | 9-9 | 9-9 | 3-3 | 6-6,37 16 67 37 16 16 67 17 35 37 17 37 37 95 61
89 55 93 47 15 82 11 24 31 66,4-7 | 8-9 | 4-8 | 3-8 | 7-9 | 6-9 | 4-6 | 6-8 | 4-4 | 8-8 | 1-5 | 1-6 | 2-9 | 6-8 | 6-8,11 31 11 11 24 11 11 11 15 31 15 11 11 11 11
73 46 78 91 20 67 65 34 46 66,3-9 | 9-9 | 3-5 | 5-9 | 3-3 | 8-9 | 0-2 | 2-6 | 9-9 | 0-7 | 3-7 | 1-3 | 3-5 | 9-9 | 2-6,20 66 20 34 91 46 46 20 66 20 20 46 20 66 20
100 36 38 57 88 14 26 72 33 5,4-5 | 7-7 | 4-8 | 4-4 | 3-9 | 7-9 | 9-9 | 7-8 | 3-5 | 6-7 | 6-7 | 5-9 | 6-9 | 7-8 | 0-8,14 72 14 88 5 5 5 33 14 26 26 5 5 33 14
56 84 37 10 79 40 87 42 68 66,1-6 | 9-9 | 2-7 | 2-2 | 1-4 | 6-9 | 8-9 | 8-9 | 6-9 | 5-5 | 9-9 | 4-9 | 7-7 | 5-9 | 8-8,10 66 10 37 10 42 66 66 42 40 66 40 42 40 68
83 47 18 59 48 53 31 51 45 61,3-4 | 5-5 | 2-3 | 8-8 | 6-7 | 8-8 | 0-3 | 9-9 | 5-6 | 8-9 | 4-6 | 2-7 | 1-3 | 2-8 | 3-5,48 53 18 45 31 45 18 61 31 45 31 18 18 18 48
28 78 41 95 60 79 53 30 23 67,3-7 | 8-9 | 5-8 | 4-5 | 2-3 | 0-8 | 8-8 | 1-9 | 7-8 | 7-7 | 2-5 | 7-8 | 4-8 | 5-8 | 3-5,30 23 23 60 41 23 23 23 23 30 41 23 23 23 60
48 98 59 3 18 87 26 34 80 2,8-9 | 3-5 | 2-3 | 7-7 | 0-6 | 0-9 | 4-9 | 4-7 | 0-2 | 6-7 | 5-6 | 1-4 | 3-8 | 2-9 | 0-2,2 3 3 34 3 2 2 18 48 26 26 3 3 2 48
21 67 53 15 95 34 74 26 25 94,2-2 | 2-8 | 1-9 | 4-4 | 0-1 | 7-8 | 0-0 | 4-5 | 1-8 | 4-5 | 3-4 | 1-1 | 3-6 | 3-7 | 3-8,53 15 15 95 21 25 21 34 15 34 15 67 15 15 15
20 59 98 4 3 60 57 29 27 79,2-6 | 5-8 | 8-9 | 4-9 | 8-8 | 6-8 | 3-9 | 6-9 | 3-8 | 8-8 | 0-6 | 9-9 | 7-7 | 6-7 | 4-4,3 27 27 3 27 27 3 27 3 27 3 79 29 29 3
28 88 10 52 29 100 90 75 6 1,0-1 | 8-9 | 2-5 | 9-9 | 8-9 | 1-8 | 2-8 | 4-9 | 3-4 | 4-9 | 5-5 | 0-3 | 2-2 | 9-9 | 1-5,28 1 10 1 1 6 6 1 29 1 100 10 10 1 10
23 20 80 13 39 92 18 63 5 5,5-8 | 8-8 | 8-8 | 7-8 | 8-9 | 4-4 | 3-9 | 2-4 | 7-7 | 0-3 | 1-6 | 2-8 | 3-4 | 6-7 | 5-8,5 5 5 5 5 39 5 13 63 13 13 5 13 18 5
86 80 2 52 64 47 28 20 95 39,2-5 | 8-9 | 9-9 | 8-9 | 6-6 | 4-8 | 9-9 | 2-8 | 9-9 | 0-5 | 7-7 | 9-9 | 4-9 | 5-7 | 8-9,2 39 39 39 28 20 39 2 39 2 20 39 20 20 39
22 95 10 44 98 65 22 69 15 75,4-5 | 9-9 | 3-4 | 2-6 | 6-9 | 3-4 | 7-8 | 3-4 | 4-8 | 6-7 | 9-9 | 3-3 | 4-4 | 7-9 | 8-8,65 75 44 10 15 44 15 44 15 22 75 44 98 15 15
99 97 31 96 73 45 95 1 28 64,3-7 | 8-8 | 1-2 | 7-8 | 4-8 | 0-3 | 2-4 | 1-2 | 1-4 | 2-5 | 3-6 | 1-3 | 3-4 | 0-0 | 2-9,1 28 31 1 1 31 31 31 31 31 45 31 73 99 1
4 13 47 15 69 92 2 5 68 50,4-4 | 3-3 | 5-8 | 1-3 | 6-8 | 6-7 | 5-8 | 4-5 | 2-2 | 4-8 | 3-8 | 8-8 | 2-3 | 2-9 | 6-7,69 15 2 13 2 2 2 69 47 2 2 68 15 2 2
54 46 96 58 56 15 99 14 62 79,7-7 | 3-6 | 7-8 | 7-8 | 9-9 | 6-7 | 3-7 | 4-7 | 5-8 | 0-4 | 3-7 | 5-7 | 5-5 | 6-8 | 2-8,14 15 14 14 79 14 14 14 14 46 14 14 15 14 14
5 43 18 75 10 54 89 46 93 63,9-9 | 0-9 | 9-9 | 0-6 | 8-9 | 6-8 | 2-7 | 0-5 | 4-7 | 9-9 | 1-7 | 7-9 | 3-8 | 5-9 | 6-7,63 5 63 5 63 46 10 5 10 63 10 46 10 46 46
40 36 62 32 83 48 97 63 6 68,4-8 | 0-6 | 1-8 | 2-6 | 8-9 | 0-4 | 1-3 | 8-8 | 2-2 | 9-9 | 3-4 | 9-9 | 5-8 | 9-9 | 5-9,6 32 6 32 6 32 32 6 62 68 32 68 6 68 6
4 5 35 19 71 39 71 43 54 36,9-9 | 3-9 | 4-9 | 8-8 | 6-6 | 4-8 | 3-3 | 0-9 | 0-9 | 0-2 | 2-3 | 0-5 | 1-5 | 9-9 | 2-4,36 19 36 54 71 39 19 4 4 4 19 4 5 36 19
25 82 20 44 7 56 80 86 95 10,3-6 | 8-8 | 6-7 | 7-8 | 6-6 | 3-4 | 3-9 | 1-9 | 3-4 | 2-4 | 7-7 | 0-7 | 5-5 | 3-7 | 2-3,7 95 80 86 80 7 7 7 7 7 86 7 56 7 20
57 49 53 51 87 58 58 12 87 49,2-5 | 8-9 | 5-6 | 7-7 | 6-6 | 4-8 | 1-4 | 8-9 | 4-8 | 5-7 | 1-7 | 5-9 | 1-2 | 7-8 | 3-4,51 49 58 12 58 12 49 49 12 12 12 12 49 12 51
36 65 96 100 70 4 44 61 82 92,2-8 | 1-5 | 6-9 | 2-7 | 6-9 | 4-4 | 8-9 | 8-9 | 0-3 | 0-3 | 2-3 | 3-3 | 1-1 | 4-8 | 9-9,4 4 44 4 44 70 82 82 36 36 96 100 65 4 92
66 70 98 88 75 90 92 75 62 75,2-5 | 5-8 | 4-6 | 9-9 | 7-7 | 8-9 | 3-8 | 5-5 | 8-8 | 6-6 | 6-7 | 9-9 | 6-7 | 6-8 | 2-2,75 62 75 75 75 62 62 90 62 92 75 75 75 62 98
90 42 54 80 89 25 44 98 72 18,2-4 | 6-9 | 8-8 | 9-9 | 1-9 | 1-7 | 8-8 | 6-6 | 7-9 | 2-9 | 2-7 | 7-8 | 4-9 | 7-7 | 0-3,54 18 72 18 18 25 72 44 18 18 25 72 18 98 42
80 49 13 95 69 11 95 60 14 53,5-8 | 6-9 | 3-4 | 9-9 | 0-5 | 5-5 | 3-8 | 4-4 | 5-9 | 4-7 | 5-9 | 2-9 | 6-6 | 0-9 | 8-8,11 14 69 53 11 11 11 69 11 11 11 11 95 11 14
67 24 90 63 46 2 48 83 79 36,2-6 | 3-3 | 7-7 | 5-7 | 1-2 | 3-6 | 0-4 | 7-7 | 8-8 | 3-5 | 0-9 | 1-8 | 0-5 | 1-3 | 3-6,2 63 83 2 24 2 24 83 79 2 2 2 2 24 2
18 17 26 9 68 3 57 50 20 38,3-9 | 9-9 | 5-9 | 1-3 | 5-5 | 0-3 | 7-9 | 4-9 | 8-9 | 5-7 | 7-8 | 3-9 | 5-7 | 7-9 | 6-6,3 38 3 9 3 9 20 3 20 3 20 3 3 20 57
5 10 86 72 52 11 78 31 58 23,4-6 | 9-9 | 3-9 | 4-8 | 0-2 | 3-3 | 2-9 | 8-9 | 4-6 | 4-7 | 2-2 | 2-9 | 9-9 | 1-3 | 8-8,11 23 11 11 5 72 11 23 11 11 86 11 23 10 58
22 65 41 92 64 54 58 92 41 51,7-8 | 5-9 | 4-6 | 6-8 | 4-7 | 7-8 | 9-9 | 0-8 | 3-3 | 2-9 | 4-4 | 6-9 | 1-9 | 7-7 | 2-5,41 41 54 41 54 41 51 22 92 41 64 41 41 92 41
68 12 71 10 38 23 2 80 1 53,8-9 | 0-5 | 3-8 | 6-7 | 6-7 | 6-9 | 7-7 | 6-8 | 4-8 | 1-6 | 9-9 | 4-6 | 9-9 | 5-7 | 6-6,1 10 1 2 2 1 80 1 1 2 53 2 53 2 2
7 27 74 50 81 74 54 3 78 72,5-8 | 8-8 | 6-6 | 8-9 | 5-9 | 2-9 | 8-9 | 1-1 | 8-8 | 9-9 | 2-2 | 7-9 | 0-9 | 8-9 | 9-9,3 78 54 72 3 3 72 27 78 72 74 3 3 72 72
98 98 20 61 17 15 90 47 30 80,5-7 | 7-9 | 5-9 | 9-9 | 9-9 | 7-8 | 1-9 | 0-4 | 7-7 | 4-5 | 2-2 | 5-8 | 2-3 | 4-9 | 7-8,15 30 15 80 80 30 15 17 47 15 20 15 20 15 30
94 75 51 54 29 87 13 74 73 5,3-8 | 4-4 | 2-2 | 3-5 | 9-9 | 2-5 | 7-7 | 8-8 | 2-8 | 3-7 | 2-5 | 0-3 | 3-4 | 9-9 | 7-9,13 29 51 29 5 29 74 73 13 13 29 51 29 5 5
69 42 15 38 17 39 23 16 10 56,4-4 | 0-4 | 4-7 | 6-9 | 2-4 | 1-5 | 0-2 | 7-9 | 7-8 | 5-6 | 6-7 | 8-8 | 0-1 | 1-2 | 5-7,17 15 16 10 15 15 15 10 10 23 16 10 42 15 16
85 74 35 44 41 3 47 63 35 58,6-8 | 1-9 | 3-4 | 0-3 | 3-8 | 9-9 | 7-7 | 8-9 | 4-4 | 1-3 | 5-5 | 8-8 | 6-6 | 8-9 | 7-9,35 3 41 35 3 58 63 35 41 35 3 35 47 35 35
74 25 96 15 25 20 38 6 84 86,2-6 | 7-7 | 1-6 | 1-9 | 8-8 | 0-1 | 8-8 | 9-9 | 9-9 | 1-2 | 2-4 | 1-2 | 5-8 | 5-5 | 2-7,15 6 15 6 84 25 84 86 86 25 15 25 6 20 6
16 10 76 56 50 76 98 36 32 89,4-4 | 1-2 | 4-8 | 4-5 | 5-5 | 1-8 | 0-5 | 7-7 | 3-6 | 7-9 | 9-9 | 1-5 | 1-3 | 6-6 | 9-9,50 10 32 50 76 10 10 36 50 32 89 10 10 98 89
48 52 70 73 65 80 22 60 21 97,2-7 | 4-8 | 6-9 | 6-8 | 0-9 | 3-5 | 1-7 | 8-9 | 0-0 | 6-7 | 4-8 | 2-4 | 5-7 | 1-5 | 2-6,22 21 21 21 21 65 22 21 48 22 21 65 22 52 22
64 49 15 52 59 72 1 5 12 86,8-8 | 6-7 | 7-8 | 7-7 | 7-8 | 4-5 | 4-8 | 2-6 | 2-4 | 5-7 | 3-8 | 9-9 | 7-7 | 0-9 | 3-5,12 1 5 5 5 59 1 1 15 1 1 86 5 1 52
33 12 65 67 18 80 3 26 31 72,2-2 | 3-7 | 0-2 | 8-8 | 6-7 | 6-8 | 1-8 | 9-9 | 3-8 | 3-8 | 0-1 | 2-5 | 1-1 | 4-9 | 7-7,65 3 12 31 3 3 3 72 3 3 12 18 12 3 26
28 49 46 69 24 3 91 21 81 85,0-9 | 2-5 | 5-5 | 8-9 | 5-7 | 5-9 | 3-6 | 5-9 | 5-6 | 3-4 | 1-9 | 1-8 | 0-4 | 0-5 | 7-7,3 3 3 81 3 3 3 3 3 24 3 3 24 3 21
44 19 96 6 45 96 93 66 43 76,8-9 | 5-7 | 0-1 | 7-8 | 6-6 | 3-7 | 8-8 | 7-7 | 9-9 | 1-2 | 0-0 | 1-8 | 6-7 | 9-9 | 7-8,43 66 19 43 93 6 43 66 76 19 44 6 66 76 43
15 62 33 26 21 93 16 8 89 57,7-7 | 7-8 | 4-9 | 9-9 | 1-4 | 6-7 | 0-8 | 4-4 | 2-4 | 9-9 | 7-7 | 0-1 | 8-9 | 0-4 | 1-6,8 8 8 57 21 8 8 21 21 57 8 15 57 15 16
57 21 37 50 3 35 87 61 51 48,2-8 | 0-7 | 5-8 | 3-6 | 1-2 | 4-4 | 3-8 | 3-5 | 6-8 | 2-8 | 2-9 | 5-5 | 2-2 | 1-7 | 6-6,3 3 35 3 21 3 3 3 51 3 3 35 37 3 87
