initial_array,operations,results
16 98 34 27 7 58 26 59 98 14,update-6-14 | update-7-68 | update-2-66 | update-9-48 | update-9-80 | update-2-18 | query-6-10 | query-3-7 | query-3-9 | update-6-77 | update-6-61 | update-10-85 | query-4-8 | update-9-51 | update-7-64,None None None None None None 465 234 519 None None None 397 None None
37 17 24 12 75 5 80 33 74 24,query-10-10 | update-10-13 | query-10-10 | query-4-6 | update-9-60 | update-3-95 | update-3-50 | query-10-10 | query-7-7 | query-5-8 | update-2-9 | query-2-10 | query-9-9 | update-9-11 | query-1-6,24 None 37 92 None None None 37 80 193 None 571 134 None 324
58 63 64 75 64 31 63 17 22 19,update-10-94 | update-4-60 | update-8-91 | query-7-8 | update-3-91 | query-7-8 | query-5-9 | update-9-12 | query-2-5 | update-3-92 | query-6-10 | query-3-7 | query-5-5 | query-6-7 | query-10-10,None None None 171 None 171 288 None 417 None 349 540 64 94 113
56 43 84 71 98 93 51 29 60 64,update-4-46 | update-2-96 | update-5-66 | update-1-77 | update-4-46 | update-6-50 | query-4-7 | query-2-2 | update-10-7 | query-4-6 | query-2-8 | query-2-9 | query-10-10 | query-2-7 | update-5-8,None None None None None None 521 139 None 470 773 833 71 744 None
71 41 87 89 73 64 98 51 40 94,query-3-4 | update-3-17 | update-9-8 | query-5-9 | update-8-20 | query-5-10 | query-1-2 | update-7-82 | query-2-8 | query-7-7 | query-4-5 | query-5-6 | update-4-56 | update-7-83 | update-9-43,176 None None 334 None 448 112 None 622 180 162 137 None None None
31 36 74 3 13 33 69 92 39 27,query-2-3 | update-5-18 | query-2-7 | update-9-81 | query-1-4 | update-1-79 | update-5-79 | query-10-10 | update-10-41 | query-3-7 | update-3-26 | update-10-76 | update-2-25 | update-6-5 | query-7-8,110 None 246 None 144 None None 27 None 289 None None None None 161
46 27 66 46 13 55 15 59 44 100,query-3-9 | update-10-100 | query-3-3 | update-4-38 | query-1-2 | query-9-9 | update-1-47 | update-9-93 | update-9-19 | update-8-84 | update-2-67 | update-5-78 | update-8-39 | query-8-9 | query-7-9,298 None 66 None 73 44 None None None None None None None 338 353
69 91 42 93 51 77 1 84 49 34,query-3-9 | update-9-94 | query-4-7 | query-8-8 | update-6-24 | update-4-54 | query-1-6 | update-9-90 | update-10-38 | query-4-4 | update-6-80 | query-9-9 | query-10-10 | update-9-94 | query-10-10,397 None 222 84 None None 501 None None 147 None 233 72 None 72
1 89 54 88 26 35 59 36 41 63,query-1-8 | update-10-24 | update-2-29 | query-8-10 | query-4-4 | query-8-10 | update-3-13 | update-6-17 | query-3-6 | update-5-52 | update-9-95 | update-7-57 | query-1-1 | update-2-93 | update-3-63,388 None None 164 88 164 None None 233 None None None 1 None None
29 10 77 81 4 17 54 10 47 60,query-2-5 | query-3-5 | query-7-10 | query-4-5 | update-2-71 | update-3-45 | update-2-76 | update-4-85 | update-2-80 | query-4-8 | query-5-6 | update-3-40 | update-8-36 | query-5-8 | update-8-30,172 162 171 85 None None None None None 251 21 None None 121 None
32 86 78 61 66 78 42 15 37 21,update-5-7 | query-5-6 | update-2-83 | update-1-71 | update-4-41 | query-5-10 | query-3-8 | query-1-2 | update-1-39 | query-4-8 | update-7-51 | update-3-68 | query-5-5 | query-3-6 | query-8-8,None 151 None None None 266 388 272 None 310 None None 73 399 15
95 5 42 57 67 14 72 42 96 79,query-8-9 | query-7-7 | update-3-41 | query-10-10 | update-10-36 | query-10-10 | update-10-3 | update-7-35 | query-3-7 | query-7-9 | update-4-91 | update-9-27 | query-1-6 | query-5-8 | update-9-97,138 72 None 79 None 115 None None 328 245 None None 412 230 None
11 1 28 70 79 56 97 59 33 76,query-8-9 | update-3-9 | query-6-8 | update-8-98 | update-5-29 | query-9-10 | update-2-99 | query-10-10 | update-8-76 | update-2-75 | query-5-10 | update-4-2 | update-4-21 | update-6-78 | query-9-10,92 None 212 None None 109 None 76 None None 603 None None None 109
53 45 39 79 37 54 39 20 61 85,query-6-6 | query-7-8 | update-5-49 | update-5-34 | update-5-30 | query-7-7 | update-1-93 | update-3-98 | update-4-49 | query-5-6 | query-1-1 | update-5-99 | update-2-36 | query-9-10 | update-4-3,54 59 None None None 39 None None None 204 146 None None 146 None
34 62 60 98 90 74 47 60 14 71,update-6-24 | update-9-86 | query-3-10 | query-2-8 | update-8-11 | update-6-1 | update-5-28 | query-5-8 | query-9-10 | query-4-10 | update-9-87 | query-2-2 | query-8-8 | update-3-86 | query-1-3,None None 624 515 None None None 335 171 604 None 62 71 None 242
16 23 45 79 94 51 55 14 94 61,update-3-67 | update-4-10 | query-6-7 | update-8-38 | update-8-13 | update-1-78 | query-2-4 | update-1-32 | update-10-45 | update-1-93 | query-5-10 | update-10-63 | update-7-30 | update-1-25 | update-2-91,None None 106 None None None 224 None None None 465 None None None None
87 4 98 60 49 10 56 17 24 20,query-2-8 | update-7-98 | query-4-8 | update-10-72 | update-2-22 | query-9-9 | update-2-57 | query-4-10 | update-8-30 | query-7-10 | update-4-87 | query-6-10 | update-7-17 | update-2-29 | update-2-59,294 None 290 None None 24 None 406 None 317 None 327 None None None
48 9 71 62 63 74 60 87 83 81,update-3-45 | update-4-15 | update-6-58 | query-5-5 | query-3-9 | update-5-12 | query-9-9 | query-5-7 | update-4-92 | query-6-9 | update-9-29 | update-2-62 | update-7-77 | update-1-11 | update-8-56,None None None 63 618 None 83 267 None 362 None None None None None
55 22 57 55 12 40 56 25 20 53,query-7-8 | query-3-6 | query-7-8 | query-10-10 | query-4-5 | update-10-62 | query-5-7 | update-10-99 | update-3-53 | update-8-89 | update-1-42 | update-5-64 | query-8-9 | update-10-77 | query-10-10,81 164 81 53 67 None 108 None None None None None 134 None 291
41 28 100 29 51 33 68 22 93 9,update-7-16 | query-8-10 | update-1-74 | query-10-10 | update-10-90 | query-6-10 | update-6-34 | update-7-56 | update-9-91 | query-9-9 | update-1-40 | update-5-51 | update-2-31 | update-5-37 | update-3-43,None 124 None 9 None 331 None None None 184 None None None None None
48 58 48 79 33 11 95 28 23 66,query-2-5 | query-2-5 | update-5-76 | query-2-9 | update-1-51 | update-6-27 | query-5-10 | query-10-10 | update-5-10 | query-10-10 | query-4-10 | update-5-31 | update-2-90 | query-2-2 | query-6-9,218 218 None 451 None None 359 66 None 66 448 None None 148 184
70 49 9 61 90 39 75 20 12 6,query-6-6 | query-10-10 | query-4-8 | update-7-40 | query-5-6 | query-9-10 | query-4-4 | query-3-3 | query-4-4 | update-1-76 | query-6-8 | update-3-70 | update-4-96 | update-3-60 | update-6-7,39 6 285 None 129 18 61 9 61 None 174 None None None None
5 43 86 89 100 30 58 76 93 26,update-5-42 | update-6-63 | update-3-39 | query-10-10 | query-1-10 | query-10-10 | query-3-10 | update-8-53 | update-4-74 | update-9-61 | query-6-9 | update-9-10 | update-1-39 | query-7-9 | update-10-8,None None None 26 750 26 702 None None None 434 None None 351 None
24 11 30 79 17 30 12 6 77 8,query-5-8 | query-8-10 | update-3-27 | update-8-42 | update-1-18 | update-8-14 | query-6-7 | query-3-5 | update-8-30 | query-3-6 | update-2-46 | query-2-2 | update-9-42 | update-3-96 | query-10-10,65 91 None None None None 42 153 None 183 None 57 None None 8
13 100 60 2 61 53 30 20 63 33,update-1-35 | query-8-9 | update-3-49 | query-5-7 | update-6-39 | query-2-6 | update-3-96 | update-7-36 | query-6-10 | update-5-38 | update-3-79 | query-7-7 | query-10-10 | update-8-50 | query-8-8,None 83 None 144 None 364 None None 274 None None 66 33 None 70
13 3 100 68 34 25 86 18 67 98,query-3-7 | update-3-26 | update-9-89 | update-5-91 | query-8-9 | update-6-80 | update-1-57 | update-1-76 | query-9-10 | update-6-2 | query-6-10 | query-9-9 | query-9-10 | update-6-74 | update-2-35,313 None None None 174 None None None 254 None 465 156 254 None None
67 47 66 40 72 77 23 62 11 59,update-10-96 | update-2-82 | query-9-10 | update-6-53 | query-7-9 | query-6-6 | query-4-10 | update-7-10 | update-10-69 | update-10-46 | update-7-47 | query-6-9 | query-1-9 | query-8-10 | update-2-72,None None 166 None 96 130 493 None None None None 283 657 343 None
96 62 24 41 74 69 28 97 46 19,update-9-97 | query-8-8 | query-9-9 | query-1-8 | update-1-67 | query-7-8 | update-4-94 | update-3-1 | query-3-3 | query-3-9 | update-2-44 | query-9-9 | query-1-5 | update-1-74 | query-4-6,None 97 143 491 None 125 None None 25 571 None 143 503 None 278
80 16 40 51 19 82 77 86 98 5,update-2-93 | update-8-49 | update-8-46 | query-7-7 | update-1-39 | update-3-46 | update-1-47 | update-5-16 | query-4-8 | query-9-10 | query-8-10 | update-6-64 | update-3-28 | update-7-2 | update-8-40,None None None 77 None None None None 426 103 284 None None None None
28 62 35 41 30 24 99 100 47 90,query-2-8 | query-6-7 | query-5-8 | query-5-5 | update-4-76 | update-10-76 | update-5-89 | update-2-23 | query-4-8 | update-7-39 | query-10-10 | query-7-7 | query-3-6 | update-5-84 | query-6-10,391 123 253 30 None None None None 459 None 166 138 295 None 475
18 79 78 37 97 12 40 11 62 71,update-6-65 | update-4-20 | query-10-10 | update-8-29 | query-8-10 | update-5-20 | query-9-9 | update-3-10 | update-4-78 | query-6-9 | update-1-74 | update-7-30 | update-5-79 | query-1-3 | query-1-5,None None 71 None 173 None 62 None None 219 None None None 259 590
93 21 60 76 85 29 69 63 11 83,update-8-17 | update-1-98 | update-4-31 | query-2-10 | update-4-95 | update-9-2 | update-3-99 | update-8-70 | update-1-37 | query-4-8 | update-2-38 | update-5-88 | query-6-10 | update-6-23 | update-3-35,None None None 545 None None None None None 535 None None 344 None None
34 85 7 70 83 3 93 30 95 22,update-5-10 | update-7-53 | update-3-17 | update-6-35 | query-10-10 | query-10-10 | update-10-70 | update-10-99 | query-2-10 | query-3-7 | update-2-16 | update-7-21 | update-4-89 | query-5-5 | query-7-7,None None None None 22 22 None None 772 371 None None None 93 167
37 20 80 37 44 23 33 17 95 53,update-4-74 | query-5-10 | update-4-90 | update-7-18 | query-3-10 | query-9-10 | query-5-10 | query-4-10 | update-3-58 | query-4-6 | query-2-4 | query-2-6 | update-1-55 | update-7-9 | query-9-9,None 265 None None 564 148 283 484 None 268 359 426 None None 95
83 91 26 99 46 18 99 53 93 46,query-3-6 | query-6-8 | update-7-59 | query-3-8 | update-1-30 | query-8-8 | query-5-7 | update-10-38 | query-5-10 | query-2-2 | query-1-6 | update-10-21 | query-10-10 | update-7-50 | query-7-8,189 170 None 400 None 53 222 None 452 91 393 None 105 None 261
32 5 27 8 78 74 67 34 11 37,query-10-10 | query-4-9 | update-1-13 | query-2-8 | query-6-8 | query-2-4 | query-2-8 | update-7-42 | query-1-5 | update-9-38 | query-5-6 | update-1-17 | update-2-26 | update-6-76 | update-4-90,37 272 None 293 175 40 293 None 163 None 152 None None None None
25 71 30 52 73 2 35 87 61 16,update-3-77 | update-4-45 | query-10-10 | query-5-10 | update-7-82 | update-6-20 | query-4-9 | query-6-8 | query-2-6 | update-5-54 | update-2-3 | query-6-6 | query-5-7 | query-10-10 | query-2-7,None None 16 274 None None 457 226 370 None None 22 266 16 544
97 77 98 28 88 69 9 19 62 1,query-5-5 | update-3-88 | query-5-8 | update-7-1 | query-2-10 | query-6-7 | query-9-10 | update-5-33 | update-9-45 | update-5-44 | update-1-16 | query-10-10 | query-8-10 | update-9-4 | query-6-10,88 None 185 None 540 79 63 None None None None 1 127 None 210
24 34 79 22 18 61 50 34 15 59,query-7-7 | query-7-10 | update-10-35 | update-5-4 | query-5-8 | update-8-15 | update-7-90 | query-1-9 | query-5-9 | update-5-36 | update-6-41 | update-2-17 | update-9-59 | query-9-10 | query-9-9,50 158 None None 167 None None 446 287 None None None None 168 74
73 74 99 66 98 59 24 22 79 76,update-5-89 | query-10-10 | query-1-3 | update-3-16 | update-5-67 | update-1-5 | query-3-9 | query-7-8 | update-7-60 | query-2-4 | query-6-6 | query-7-7 | update-9-92 | update-3-84 | update-9-2,None 76 246 None None None 619 46 None 255 59 84 None None None
88 77 74 1 10 2 67 82 36 98,query-7-10 | update-1-86 | query-7-9 | update-5-100 | update-4-25 | query-8-8 | query-4-8 | update-2-36 | query-3-8 | update-3-9 | query-8-10 | update-2-63 | query-1-6 | query-7-9 | query-1-10,283 None 185 None None 82 287 None 361 None 216 None 571 185 854
37 4 23 97 24 3 39 58 69 40,query-7-7 | query-3-6 | query-5-10 | update-2-36 | query-7-10 | query-1-8 | update-7-93 | update-5-62 | query-10-10 | query-6-10 | update-2-28 | update-2-41 | query-7-7 | query-8-9 | update-9-44,39 147 233 None 206 321 None None 40 302 None None 132 127 None
91 50 27 77 82 55 11 67 95 65,update-5-28 | query-7-10 | update-3-25 | query-4-7 | update-5-17 | update-3-42 | query-2-8 | update-8-33 | query-9-9 | query-8-10 | query-9-9 | update-10-47 | update-10-31 | query-6-9 | query-4-8,None 238 None 253 None None 481 None 95 260 95 None None 261 370
16 5 24 25 21 94 39 35 61 29,query-3-7 | query-7-9 | update-2-53 | update-3-36 | query-3-10 | update-1-31 | update-2-57 | query-6-8 | query-3-6 | query-5-10 | query-9-9 | update-6-69 | update-10-77 | query-4-9 | query-10-10,203 135 None None 364 None None 168 200 279 61 None None 344 106
12 9 49 44 13 41 63 32 92 22,update-6-96 | query-3-4 | query-3-5 | update-9-65 | update-10-79 | update-2-92 | update-6-13 | update-10-12 | query-10-10 | query-9-9 | query-1-5 | update-10-24 | query-3-3 | update-6-72 | query-8-8,None 93 106 None None None None None 113 157 219 None 49 None 32
70 81 48 6 81 31 6 56 5 56,update-8-20 | update-6-83 | update-4-88 | query-9-9 | update-4-51 | update-9-67 | update-8-35 | query-8-8 | query-5-10 | query-6-8 | update-5-94 | query-5-6 | update-9-24 | update-4-40 | update-5-94,None None None 5 None None None 111 440 231 None 289 None None None
84 5 16 1 88 19 79 74 47 80,query-10-10 | query-9-9 | update-2-23 | query-8-9 | update-1-18 | update-9-34 | query-4-5 | query-4-8 | update-3-1 | update-10-65 | update-7-27 | query-2-9 | query-4-5 | update-2-31 | update-5-30,80 47 None 121 None None 89 261 None None None 414 89 None None
43 92 71 78 77 97 97 38 90 60,update-4-53 | query-3-6 | update-4-17 | update-1-20 | update-9-55 | update-1-100 | query-4-9 | update-8-90 | query-4-5 | update-10-71 | update-5-44 | update-4-16 | update-6-4 | query-6-10 | query-8-9,None 376 None None None None 602 None 225 None None None None 602 273
41 62 21 87 92 60 52 16 13 14,query-9-9 | update-7-78 | update-8-46 | query-1-10 | update-7-74 | update-9-7 | update-1-19 | update-4-18 | query-5-8 | update-6-81 | query-3-6 | query-1-4 | update-1-62 | query-2-8 | query-4-8,13 None None 582 None None None None 418 None 359 248 None 687 604
61 63 38 20 100 30 63 43 82 66,update-2-86 | update-5-19 | update-6-18 | update-8-35 | update-7-77 | query-9-9 | query-6-6 | query-5-8 | update-5-5 | query-6-6 | update-5-49 | update-7-36 | query-3-6 | update-8-74 | query-3-8,None None None None None 82 48 385 None 48 None None 279 None 607
48 79 17 71 16 92 13 21 87 72,query-4-7 | update-5-26 | update-1-97 | update-6-36 | query-5-7 | update-5-58 | query-7-7 | update-8-56 | update-7-14 | update-9-96 | update-2-96 | query-1-3 | update-9-100 | update-5-1 | update-1-9,192 None None None 183 None 13 None None None None 337 None None None
13 56 54 32 69 99 12 56 56 59,query-8-8 | update-1-99 | query-2-5 | query-4-4 | update-4-27 | query-4-8 | update-4-98 | query-2-9 | update-2-95 | update-5-68 | update-7-48 | query-6-9 | query-3-4 | update-10-81 | query-10-10,56 None 211 32 None 295 None 559 None None None 271 211 None 140
82 2 68 12 87 17 6 29 9 78,query-3-10 | query-3-8 | update-3-9 | query-10-10 | update-7-5 | update-7-18 | query-9-9 | query-2-5 | update-1-29 | query-5-9 | update-6-16 | query-2-5 | update-7-90 | query-3-10 | update-3-41,306 219 None 78 None None 9 178 None 171 None 178 None 444 None
85 55 76 72 11 26 94 2 66 82,update-7-88 | update-5-1 | query-6-7 | query-3-7 | update-6-98 | update-1-40 | update-4-19 | update-5-26 | update-5-73 | query-8-9 | update-3-80 | query-2-7 | query-5-6 | query-4-9 | query-8-8,None None 208 368 None None None None None 68 None 719 235 576 2
17 13 59 85 31 34 96 90 12 86,update-8-3 | query-2-5 | query-2-7 | update-5-29 | query-7-10 | query-6-10 | query-8-8 | query-4-10 | update-9-56 | query-2-6 | update-6-99 | update-5-21 | query-6-6 | update-2-84 | query-9-9,None 188 318 None 287 321 93 466 None 251 None None 133 None 68
23 63 91 15 27 70 7 56 58 38,update-3-2 | query-7-10 | update-7-32 | query-5-8 | query-6-7 | query-9-9 | query-5-7 | update-10-1 | update-3-8 | update-1-34 | update-1-24 | update-4-59 | update-3-65 | update-4-4 | update-2-93,None 159 None 192 109 58 136 None None None None None None None None
76 66 17 28 18 72 59 19 90 25,update-7-63 | query-10-10 | update-8-23 | update-9-48 | query-1-8 | query-10-10 | query-8-8 | query-4-9 | query-7-10 | update-5-29 | query-8-9 | query-10-10 | update-10-17 | query-3-9 | update-4-43,None 25 None None 441 25 42 420 327 None 180 25 None 466 None
22 28 82 54 14 47 37 39 94 44,update-2-11 | query-7-9 | update-8-96 | query-1-7 | update-2-31 | query-7-9 | query-5-6 | update-5-60 | update-3-72 | query-4-8 | query-3-6 | query-9-10 | query-1-2 | query-10-10 | query-2-2,None 170 None 295 None 266 61 None None 347 329 138 92 44 70
80 93 12 17 35 27 77 60 75 84,update-8-23 | query-3-7 | update-6-20 | update-9-63 | query-9-9 | query-8-9 | query-1-4 | query-10-10 | query-9-9 | query-7-9 | update-5-20 | query-7-9 | query-5-10 | update-6-11 | query-2-5,None 168 None None 138 221 202 84 138 298 None 298 484 None 177
74 3 37 67 85 42 51 4 96 89,query-8-9 | query-8-9 | query-9-10 | update-2-49 | query-3-9 | update-7-52 | update-4-81 | update-6-46 | query-8-10 | query-4-10 | query-8-8 | query-6-8 | update-10-72 | update-5-59 | query-5-5,100 100 185 None 382 None None None 189 613 4 195 None None 144
36 32 55 75 52 100 85 65 8 24,query-8-10 | update-7-88 | update-9-85 | query-6-6 | update-10-94 | update-4-27 | update-4-39 | update-5-9 | update-1-5 | update-5-89 | query-8-10 | update-8-74 | update-7-22 | query-8-9 | query-10-10,97 None None 100 None None None None None None 276 None None 232 118
36 53 20 2 15 39 14 74 78 51,query-3-7 | query-2-7 | update-3-86 | update-10-68 | update-2-31 | query-6-8 | update-1-29 | update-6-60 | update-5-59 | query-2-2 | query-10-10 | update-3-77 | query-5-9 | query-10-10 | update-10-91,90 143 None None None 127 None None None 84 119 None 339 119 None
35 43 76 60 29 1 84 62 28 3,update-6-62 | update-10-5 | update-10-15 | update-6-46 | query-6-6 | update-8-76 | update-8-86 | query-3-10 | update-4-8 | update-3-82 | update-5-19 | query-3-4 | update-5-33 | update-3-98 | query-1-1,None None None None 109 None None 633 None None None 226 None None 35
47 93 24 28 75 71 7 45 72 25,query-4-10 | query-9-9 | update-10-4 | update-8-19 | query-4-5 | update-4-42 | update-2-67 | query-8-9 | update-8-60 | query-9-9 | query-8-10 | update-5-92 | query-7-7 | update-10-36 | update-3-99,323 72 None None 103 None None 136 None 72 225 None 7 None None
52 42 48 4 19 52 89 4 33 69,query-5-8 | query-1-1 | query-1-5 | query-2-2 | update-7-81 | query-2-8 | query-8-10 | query-6-7 | query-9-10 | update-5-80 | query-5-9 | query-4-9 | update-8-49 | update-1-2 | update-6-80,164 52 165 42 None 339 106 222 102 None 358 362 None None None
37 14 76 14 58 18 32 15 18 88,update-1-58 | query-1-3 | query-8-9 | query-5-5 | update-6-82 | update-3-7 | query-4-7 | query-7-8 | query-4-9 | update-1-9 | query-9-9 | update-4-52 | update-1-48 | update-3-80 | query-1-8,None 185 33 58 None None 204 47 237 None 18 None None None 600
68 88 83 57 11 14 45 24 74 30,query-9-10 | query-8-8 | query-2-9 | query-5-8 | query-6-7 | update-7-52 | update-3-61 | query-7-9 | query-3-6 | query-4-10 | query-5-6 | update-4-82 | query-7-8 | update-4-84 | query-10-10,104 24 396 94 59 None None 195 226 307 25 None 121 None 30
32 64 18 81 47 79 27 4 89 65,query-7-8 | update-9-89 | update-10-11 | query-3-6 | query-2-7 | update-2-30 | query-7-7 | query-3-4 | query-3-6 | query-10-10 | update-7-63 | update-4-69 | query-6-6 | query-5-5 | update-3-7,31 None None 225 316 None 27 99 225 76 None None 79 47 None
67 94 15 90 32 12 98 11 87 74,query-3-3 | query-7-8 | update-6-99 | update-7-44 | query-6-10 | update-1-36 | query-10-10 | update-8-79 | query-10-10 | update-1-13 | update-4-83 | query-4-9 | update-2-64 | query-3-5 | query-1-8,15 109 None None 425 None 74 None 74 None None 635 None 220 837
23 46 28 60 99 20 69 34 83 95,update-2-30 | update-8-46 | query-10-10 | update-7-55 | update-8-90 | query-4-7 | query-3-9 | query-7-10 | query-10-10 | query-6-8 | update-1-33 | update-5-41 | query-5-8 | update-9-93 | update-2-68,None None 95 None None 303 584 472 95 314 None None 454 None None
15 58 67 44 30 5 77 97 32 36,query-1-1 | query-1-5 | query-3-3 | query-8-8 | update-8-49 | query-2-10 | update-6-79 | update-1-78 | update-5-2 | update-8-54 | update-10-14 | query-2-10 | update-1-25 | query-1-10 | update-6-61,15 214 67 97 None 495 None None None None None 644 None 762 None
82 7 33 6 63 12 64 92 40 21,update-2-16 | update-4-70 | update-4-37 | update-8-36 | query-7-8 | update-5-54 | update-5-58 | query-3-9 | query-7-7 | update-6-47 | query-3-10 | update-8-88 | update-8-9 | query-4-8 | query-4-8,None None None None 192 None None 565 64 None 633 None None 636 636
31 47 68 79 46 31 73 33 12 45,update-9-98 | update-4-31 | query-2-9 | query-7-10 | update-5-75 | update-10-81 | query-5-5 | query-5-5 | update-2-91 | update-2-91 | update-9-80 | update-8-23 | query-4-10 | query-10-10 | update-9-26,None None 518 261 None None 121 121 None None None None 707 126 None
1 9 51 65 85 32 33 50 61 19,update-1-76 | query-3-5 | update-9-13 | update-8-83 | query-4-5 | query-1-8 | query-10-10 | query-2-3 | update-4-74 | update-7-91 | query-3-10 | update-6-70 | update-10-73 | update-1-15 | update-2-75,None 201 None None 150 485 19 60 None None 657 None None None None
52 40 28 6 77 94 95 62 67 42,query-8-9 | query-4-9 | query-9-9 | update-4-28 | update-7-76 | query-3-5 | update-2-95 | update-2-4 | query-2-6 | query-7-8 | update-5-34 | update-9-12 | update-8-6 | update-6-94 | update-8-84,129 401 67 None None 139 None None 372 233 None None None None None
95 88 71 87 83 74 65 41 57 84,query-10-10 | query-6-7 | query-10-10 | query-2-8 | query-7-7 | update-3-1 | update-5-50 | update-8-80 | query-6-8 | query-8-8 | update-1-14 | query-3-6 | update-2-85 | query-1-4 | query-8-9,84 139 84 509 65 None None None 260 121 None 366 None 441 178
20 64 68 25 22 12 77 14 70 7,query-8-10 | query-8-8 | update-9-84 | query-4-10 | query-5-9 | query-1-7 | update-2-89 | update-8-97 | query-7-7 | update-2-43 | update-5-100 | update-5-73 | update-9-75 | query-5-9 | query-10-10,91 14 None 311 279 288 None None 77 None None None None 624 7
28 1 62 38 28 60 92 83 100 35,query-4-8 | query-10-10 | update-4-72 | query-1-5 | update-9-22 | query-1-4 | update-3-80 | query-4-5 | update-9-100 | update-7-26 | query-10-10 | query-2-3 | update-2-63 | update-8-5 | update-10-9,301 35 None 229 None 201 None 138 None None 35 143 None None None
10 96 25 63 68 35 69 13 88 84,query-6-9 | update-6-77 | query-2-7 | update-2-64 | update-5-81 | update-7-12 | update-5-65 | update-4-76 | query-9-10 | update-6-37 | update-10-26 | update-1-13 | query-10-10 | query-7-9 | update-3-66,205 None 433 None None None None None 172 None None None 110 182 None
28 35 19 67 45 91 58 94 67 69,query-5-6 | query-7-8 | update-8-21 | query-9-10 | query-3-5 | update-10-62 | query-2-9 | update-5-69 | update-1-77 | update-4-42 | query-6-8 | update-5-64 | query-9-10 | query-4-6 | query-9-10,136 152 None 136 131 None 497 None None None 264 None 198 378 198
89 93 55 29 61 98 43 31 22 62,query-1-9 | query-9-10 | update-9-94 | query-7-9 | query-3-10 | update-1-37 | update-4-85 | query-1-5 | query-9-9 | query-2-7 | update-2-56 | query-4-10 | query-4-9 | query-9-9 | query-1-5,521 84 None 190 495 None None 449 116 464 None 525 463 116 505
24 32 30 60 79 12 97 92 46 30,update-10-91 | update-5-72 | update-2-9 | update-4-10 | update-4-17 | update-8-75 | query-9-9 | query-2-7 | update-4-63 | update-5-32 | update-3-86 | update-7-52 | update-10-68 | update-4-56 | update-10-49,None None None None None None 46 418 None None None None None None None
88 17 95 30 43 51 5 53 83 64,query-3-10 | query-6-8 | query-2-7 | query-6-9 | query-5-8 | update-4-66 | query-9-10 | query-3-6 | update-8-23 | query-4-8 | query-3-7 | update-2-93 | update-9-79 | query-8-8 | query-9-10,424 109 241 192 152 None 147 285 None 271 290 None None 76 226
75 50 18 21 27 70 55 79 37 60,update-6-78 | update-4-80 | update-4-18 | update-8-20 | query-8-8 | query-4-8 | query-9-10 | query-4-4 | query-10-10 | query-10-10 | query-9-10 | update-3-68 | update-1-59 | update-8-15 | query-5-8,None None None None 99 448 97 119 60 60 97 None None None 344
70 62 20 54 1 6 75 8 36 17,update-9-21 | update-9-37 | update-2-27 | update-7-13 | update-6-71 | update-3-47 | query-1-10 | update-3-24 | update-10-41 | query-4-9 | update-4-56 | update-7-92 | update-1-81 | query-9-10 | update-8-60,None None None None None None 565 None None 322 None None None 152 None
93 42 81 17 40 37 11 20 15 14,query-4-5 | update-8-2 | query-10-10 | query-10-10 | query-5-5 | update-6-55 | update-9-91 | update-9-28 | update-8-17 | update-10-69 | query-2-9 | query-6-6 | query-2-4 | update-9-33 | query-7-10,57 None 14 14 40 None None None None None 456 92 140 None 300
49 6 5 73 10 89 54 61 11 89,query-6-7 | update-9-70 | update-4-4 | update-4-1 | update-5-53 | query-6-9 | update-7-35 | update-1-92 | update-10-48 | query-3-10 | query-10-10 | update-6-46 | query-5-5 | update-8-41 | query-6-8,143 None None None None 285 None None None 603 137 None 63 None 326
91 53 55 24 87 95 20 47 45 25,update-10-32 | update-8-14 | query-7-10 | query-3-5 | query-3-5 | query-7-7 | update-7-15 | update-5-84 | query-2-6 | query-4-4 | query-10-10 | update-2-74 | update-5-31 | update-7-61 | query-8-10,None None 183 166 166 20 None None 398 24 57 None None None 163
75 57 22 86 69 10 15 59 80 14,update-3-84 | query-6-9 | update-1-20 | update-5-18 | update-7-47 | query-6-10 | query-5-9 | update-8-59 | query-9-10 | query-2-6 | update-3-56 | query-2-7 | query-2-5 | query-4-9 | query-9-10,None 164 None None None 225 298 None 94 346 None 464 392 443 94
87 17 47 37 32 57 59 25 89 41,update-10-8 | update-1-96 | query-4-8 | update-4-95 | query-6-7 | query-7-10 | update-2-43 | query-8-10 | query-1-2 | update-4-90 | update-9-15 | update-10-64 | query-3-4 | query-7-8 | update-8-57,None None 210 None 116 222 None 163 243 None None None 269 84 None
75 46 73 66 60 96 50 98 78 33,query-5-8 | query-7-8 | update-3-44 | update-8-1 | query-6-8 | query-7-9 | query-1-1 | query-3-9 | update-9-46 | update-3-61 | update-10-60 | query-4-4 | update-3-21 | update-2-14 | query-9-9,304 148 None None 245 227 75 566 None None None 66 None None 124
37 39 86 81 79 24 24 32 39 90,update-9-38 | update-3-78 | update-1-76 | update-4-68 | update-4-74 | query-8-9 | update-7-98 | update-10-33 | query-9-10 | update-8-97 | query-8-8 | query-7-10 | query-3-4 | update-7-29 | query-5-5,None None None None None 109 None None 200 None 129 451 387 None 79
26 16 44 11 63 1 7 58 96 33,update-9-8 | query-7-8 | query-5-7 | query-8-8 | query-7-9 | update-8-26 | query-1-7 | query-6-7 | query-8-8 | query-8-10 | query-2-6 | update-6-73 | query-9-9 | update-9-12 | query-4-10,None 65 71 58 169 None 168 8 84 221 135 None 104 None 388
